X,Y,OBJECTID,ETE_CD,ETE_NM,ETE_ACH_CD,ETE_AA_OPERACAO,ETE_DS_STATUS,ETE_DS_INTEGRADO,ETE_DS_TOTAL,ETE_DS_TIPOLOGIA,ETE_NM_CORPORECEPTOR,ETE_QT_POPPROJ,ETE_PC_REMOCAODBO,ETE_PC_REMOCAOP,ETE_PC_REMOCAON,ETE_MUN_CD_IBGE,ETE_NM_REGIAOMETROP,ETE_DS_TIPOLOGRESUMIDA
-43.152002517,-19.0963668369999,2949,3113800_ETE_1,ETE Carmésia,77666161,0,Ativa,Não,Sim,Reator Anaeróbio + Filtro Aeróbio + Decantador, ,0,0.85000002,0,0,3113800, ,RAN
-43.404922397,-20.069131377,2950,3115359_ETE_1,ETE Catas Altas,77686696,0,Ativa,Não,Sim,"Reator Anaeróbio (RAFA, RALF, UASB, DAFA)", ,0,0.68000001,0,0,3115359, ,RAN
-43.6629212999999,-18.448736648,2951,3121001_ETE_1,ETE Datas,7694844977,0,Ativa,Não,Sim,Fossa Séptica + Tanque de Aeração, ,0,0.80000001,0,0,3121001, ,MIS
-41.221804995,-18.9884504299999,2952,3127370_ETE_1,ETE Goiabeira,7763481,0,Ativa,Não,Sim,"Reator Anaeróbio (RAFA, RALF, UASB, DAFA)", ,0,0.68000001,0,0,3127370, ,RAN
-43.748507823,-18.440849682,2953,3127602_ETE_1,ETE Chiqueiro,769484485,0,Ativa,Não,Sim,Reator Anaeróbio + Filtro Anaeróbio/Biológico, ,0,0.75,0,0,3127602, ,RAN
-44.038292902,-19.008067137,2954,3158508_ETE_1,ETE Ribeirão Jequitibá,769495513,0,Ativa,Não,Sim,Reator Anaeróbio + Filtro Anaeróbio/Biológico, ,0,0.75,0,0,3158508, ,RAN
-49.7933724759999,-19.2155616659999,2955,3129103_ETE_1,ETE Gurinhatã,86922777,0,Ativa,Não,Sim,Lagoa Facultativa, ,0,0.77999997,0,0,3129103, ,LAG
-49.833323465,-18.9334469299999,2956,3129103_ETE_2,ETE Vila Flor de Minas,869241122,0,Ativa,Não,Sim,Fossa Séptica + Disposição no Solo (Infiltração no Solo/Escoamento Superficial/Sumidouro/Áreas Alagadas), ,0,0.60000002,0,0,3129103, ,SIM
-44.1015934339999,-20.0067325009999,2957,3129806_ETE_2,ETE Ibirité,769659873,2019,Ativa,Não,Sim,Lodos Ativados com Remoção Biológica de Nitrogênio (Zona Anóxica) + Flotação/Sedimentação/Filtração Quimicamente Assistidas,Ribeirão Ibirité,67685,0.89999998,0,0,3129806, ,QBI
-44.915240217,-21.167907371,2958,3130408_ETE_1,ETE Ijaci,8689596,0,Ativa,Não,Sim,"Reator Anaeróbio (RAFA, RALF, UASB, DAFA)", ,0,0.68000001,0,0,3130408, ,RAN
-43.321656079,-19.4156779329999,2959,3132800_ETE_2,ETE 2,77668751,0,Ativa,Não,Sim,"Reator Anaeróbio (RAFA, RALF, UASB, DAFA)", ,0,0.68000001,0,0,3132800, ,RAN
-43.3234835539999,-19.4130244099999,2960,3132800_ETE_4,ETE 4,77668751,0,Ativa,Não,Sim,"Reator Anaeróbio (RAFA, RALF, UASB, DAFA)", ,0,0.68000001,0,0,3132800, ,RAN
-43.3253309569999,-19.420159564,2961,3132800_ETE_5,ETE 5,77668751,0,Ativa,Não,Sim,"Reator Anaeróbio (RAFA, RALF, UASB, DAFA)", ,0,0.68000001,0,0,3132800, ,RAN
